intended,A,D,F,H,N,S
A,0.527191608112143,0.21137189587228927,0.052520626065079255,0.01984274576721469,0.17809410844422646,0.01097901573904721
D,0.12141545839421528,0.28602215818974275,0.09285666034289165,0.02799570392017284,0.37495682916611317,0.09675318998686426
F,0.0652005613059901,0.06312606224093241,0.32015558530113997,0.030218420009922767,0.3835032918825208,0.1377960792594939
H,0.07071419488807372,0.07568448904011453,0.08260436783253462,0.28974211600096733,0.44821032625910673,0.03304450597920307
N,0.03879493449410652,0.05926481266867651,0.050418762470280404,0.019925964866167257,0.761531997594555,0.07006352790621419
S,0.01888765138175052,0.07084331002505667,0.11559965735811525,0.012840470570604324,0.5326006496344813,0.24922826102999193
